tema,titulo,link
mundo,"Encontro Putin e Trump deve ocorrer em 2 semanas, mas ainda há 'muitas questões' a resolver, diz Kremlin",https://g1.globo.com/mundo/noticia/2025/10/17/encontro-putin-e-trump-kremlin-diz-que-ainda-ha-muitas-questoes-a-resolver-sobre-reuniao.ghtml
tecnologia,OpenAI suspende geração de vídeos de Martin Luther King após usuários criarem conteúdos racistas,https://g1.globo.com/tecnologia/noticia/2025/10/17/openai-suspende-geracao-de-videos-de-martin-luther-king-apos-usuarios-criarem-conteudo-desrespeitoso.ghtml
tecnologia,Qual iPhone escolher: 16 ou 17?,https://g1.globo.com/guia/guia-de-compras/tecnologia/celulares/iphone-16-ou-17-saiba-qual-escolher.ghtml
tecnologia,O aplicativo indiano que quer desafiar a supremacia do WhastApp,https://g1.globo.com/tecnologia/noticia/2025/10/17/o-aplicativo-indiano-que-quer-desafiar-a-supremacia-do-whastapp.ghtml
tecnologia,Celular descarregando rápido? Veja quando é hora de trocar a bateria,https://g1.globo.com/tecnologia/noticia/2025/10/17/celular-descarregando-rapido-veja-quando-e-hora-de-trocar-a-bateria.ghtml
tecnologia,5 diferenças entre o iPhone 17 e o iPhone 16,https://g1.globo.com/especiais/guia-de-compras/video/5-diferencas-entre-o-iphone-17-e-o-iphone-16-14018727.ghtml
tecnologia,"'Se tiver apagão, todos serão afetados': Anatel alerta para risco de concentração de data centers no Brasil",https://g1.globo.com/tecnologia/noticia/2025/10/16/se-tiver-um-apagao-todos-serao-afetados-presidente-da-anatel-alerta-para-risco-de-concentracao-de-data-centers-no-brasil.ghtml
tecnologia,Música de Adele em homenagem a Charlie Kirk é outro caso de excessos da IA,https://g1.globo.com/pop-arte/musica/noticia/2025/10/16/musica-de-adele-em-homenagem-a-charlie-kirk-e-outro-caso-de-excessos-da-ia.ghtml
tecnologia,Como Sofá na Caixa foi de sucesso viral nas redes à explosão de reclamações de clientes,https://g1.globo.com/tecnologia/noticia/2025/10/16/como-sofa-na-caixa-foi-de-sucesso-viral-nas-redes-a-explosao-de-reclamacoes-de-clientes.ghtml
tecnologia,As mulheres que decidiram confrontar a Meta após perderem seus bebês: 'Anúncios lembram tudo que perdi',https://g1.globo.com/tecnologia/noticia/2025/10/16/as-mulheres-que-decidiram-confrontar-a-meta-apos-perderem-seus-bebes-anuncios-lembram-tudo-que-perdi.ghtml
tecnologia,YouTube caiu? Usuários relatam problemas na plataforma nesta quarta-feira,https://g1.globo.com/tecnologia/noticia/2025/10/15/youtube-caiu-usuarios-relatam-problemas-na-plataforma-nesta-quarta-feira.ghtml
esportes,Flávia Saraiva é a maior chance de medalha do Brasil no Mundial de ginástica artística,https://ge.globo.com/ginastica-artistica/noticia/2025/10/17/analise-flavia-saraiva-e-a-maior-chance-de-medalha-do-brasil-no-mundial-de-ginastica-artistica.ghtml
esportes,"Classificação do returno: Vasco é terceiro, sua melhor posição; Santos sobe",https://ge.globo.com/gato-mestre/dicas/noticia/2025/10/17/classificacao-do-returno-vasco-e-terceiro-sua-melhor-posicao-santos-ganha-quatro-posicoes.ghtml
esportes,Entenda como trio lucra mais de R$ 100 mil com resgate e restauração de  bolas de golfe perdidas em lagos,https://ge.globo.com/golfe/noticia/2025/10/17/entenda-como-trio-lucra-mais-de-r-100-mil-com-resgate-e-restauracao-de-bolas-de-golfe-perdidas-em-lagos-empreendedorismo.ghtml
esportes,"Ronda Rousey: treinos são por diversão, mas ""ninguém jamais está acabado""",https://ge.globo.com/combate/noticia/2025/10/17/ronda-rousey-volta-aos-treinos-e-por-diversao-mas-ninguem-jamais-esta-acabado.ghtml
esportes,Torcedores caem da arquibancada durante briga no Barradão; vídeo,https://ge.globo.com/ba/futebol/times/vitoria/noticia/2025/10/17/torcedores-do-vitoria-caem-da-arquibancada-durante-briga-generalizada-no-barradao-video.ghtml
esportes,Mundial de ginástica artística 2025: veja atletas do Brasil para ficar de olho,https://ge.globo.com/ginastica-artistica/noticia/2025/10/17/mundial-de-ginastica-artistica-2025-veja-atletas-do-brasil-para-ficar-de-olho.ghtml
esportes,Chances Série A: confira briga por vaga na Libertadores e contra o rebaixamento,https://ge.globo.com/gato-mestre/noticia/2025/10/17/chances-serie-a-golaco-de-thiago-silva-impulsiona-possibilidade-de-fluminense-ir-a-libertadores.ghtml
